Original_Name,Group,LSID,AphiaID_accepted,ScientificName_accepted,Authority_accepted,kingdom,phylum,class,order,family,genus,subgenus,species,subspecies
Sponge  massive violet,Porifera,urn:lsid:marinespecies.org:taxname:164811,164811,Demospongiae,"Sollas, 1885",Animalia,Porifera,Demospongiae,,,,,,
Sponge  Repent,Porifera,urn:lsid:marinespecies.org:taxname:164811,164811,Demospongiae,"Sollas, 1885",Animalia,Porifera,Demospongiae,,,,,,
Sponge  Tubular,Porifera,urn:lsid:marinespecies.org:taxname:164811,164811,Demospongiae,"Sollas, 1885",Animalia,Porifera,Demospongiae,,,,,,
Tegula patagonica,Mollusca,urn:lsid:marinespecies.org:taxname:533470,533470,Tegula patagonica,"(d'Orbigny, 1835)",Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,,patagonica,
Terebellidae,Annelida,urn:lsid:marinespecies.org:taxname:982,982,Terebellidae,"Johnston, 1846",Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,,,,
Trapania sp ,Mollusca,urn:lsid:marinespecies.org:taxname:138043,138043,Trapania,"Pruvot-Fol, 1931",Animalia,Mollusca,Gastropoda,Nudibranchia,Goniodorididae,Trapania,,,
Tripalea clavaria,Cnidaria,urn:lsid:marinespecies.org:taxname:291239,291239,Tripalea clavaria,"(Studer, 1878)",Animalia,Cnidaria,Anthozoa,Alcyonacea,Spongiodermidae,Tripalea,,clavaria,
Ulva sp ,Chlorophyta,urn:lsid:marinespecies.org:taxname:144296,144296,Ulva,"Linnaeus, 1753",Plantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,,,
Undaria debris,Substrate,,,Undaria debris,,,,,,,,,,
Worms  Polychaetes  Tube worms,Annelida,urn:lsid:marinespecies.org:taxname:883,883,Polychaeta,"Grube, 1850",Animalia,Annelida,Polychaeta,,,,,,
