eventID,parentEventID,eventDate,country,locality,sampleSizeValue,sampleSizeUnit,decimalLongitude,decimalLatitude,minimumDepthInMeters,maximumDepthInMeters,coordinateUncertaintyInMeters,geodeticDatum
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q007,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q008,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q010,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q011,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q012,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-26,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q013,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-26,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q014,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-26,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q015,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-26,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q016,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-26,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
