eventID,parentEventID,eventDate,country,locality,sampleSizeValue,sampleSizeUnit,decimalLongitude,decimalLatitude,minimumDepthInMeters,maximumDepthInMeters,coordinateUncertaintyInMeters,geodeticDatum
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q017,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-26,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q018,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-26,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q019,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-26,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q020,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-26,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS,,ARGENTINA,PTOPIRAMIDES,,,,,16,25,,
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2,,ARGENTINA,PTOPIRAMIDES,,,,,,,,
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR_Q001,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR,2019-03-22,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.24525,-42.640833,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR_Q002,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR,2019-03-22,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.24525,-42.640833,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR_Q003,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR,2019-03-22,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.24525,-42.640833,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR_Q004,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR,2019-03-22,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.24525,-42.640833,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR_Q005,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR,2019-03-22,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.24525,-42.640833,,,,WGS84
