eventID,parentEventID,eventDate,country,locality,site,reef,Quadrat,decimalLongitude,decimalLatitude,minimumDepthInMeters,maximumDepthInMeters,coordinateUncertaintyInMeters,geodeticDatum,photo
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q020,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q020,-64.274401,-42.632535,,,,WGS84,IMG_5399 00222.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1,,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,,,,,,,,
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q001,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q001,-64.274401,-42.632535,,,,WGS84,IMG_5337 00165.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q002,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q002,-64.274401,-42.632535,,,,WGS84,IMG_5339 00167.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q003,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q003,-64.274401,-42.632535,,,,WGS84,IMG_5344 00171.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q004,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q004,-64.274401,-42.632535,,,,WGS84,IMG_5347 00174.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q005,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q005,-64.274401,-42.632535,,,,WGS84,IMG_5352 00178.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q006,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q006,-64.274401,-42.632535,,,,WGS84,IMG_5355 00181.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q007,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q007,-64.274401,-42.632535,,,,WGS84,IMG_5360 00186.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q008,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q008,-64.274401,-42.632535,,,,WGS84,IMG_5363 00189.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q009,-64.274401,-42.632535,,,,WGS84,IMG_5368 00193.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q010,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q010,-64.274401,-42.632535,,,,WGS84,IMG_5371 00196.JPG
