occurrenceID,eventID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q004_009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q004,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,48,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_CAVEFLOOR_Q005_010,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_CAVEFLOOR_Q005,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_CAVEFLOOR_Q006_007,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_CAVEFLOOR_Q006,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,48,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q006_014,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q006,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q007_011,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q007,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q008_009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q008,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,48,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q009_008,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q009,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,64,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q010_007,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q010,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,32,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q011_009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q011,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,64,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_CAVEFLOOR_Q009_009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_CAVEFLOOR_Q009,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_CAVEFLOOR_Q010_009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_CAVEFLOOR_Q010,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q013_008,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q013,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q016_006,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q016,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q017_006,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q017,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q019_009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_MID2_HORIZONTAL_Q019,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_HORIZONTAL_Q001_007,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_HORIZONTAL_Q001,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
