eventID,parentEventID,eventDate,country,locality,site,reef,Quadrat,decimalLongitude,decimalLatitude,minimunDepthinMeters,maximunDepthinMeters,coordinateUncertaintyInMeters,geodeticDatum
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q011,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q011,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q012,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q012,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q013,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q013,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q014,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q014,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q015,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q015,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q016,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q016,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q017,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q017,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q018,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q018,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q019,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q019,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q020,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q020,-64.274401,-42.632535,,,,WGS84
