"","Name","Date","region","site","reef.name","reef.area","understory","Height..cm.","Latitude","Longitude","Depth","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments","Annotation.status","Annotation.area","CD","Taxa","value","abundance"
"44","IMG_5188 00074.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","cavefloor","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"45","IMG_5207 00080.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","vertical","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"46","IMG_5207 00080.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","vertical","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"47","IMG_5225 00081.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",4,NA
"48","IMG_5225 00081.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",4,4
"49","IMG_5226 00082.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",3,NA
"50","IMG_5226 00082.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",3,3
"51","IMG_5227 00083.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"52","IMG_5227 00083.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"53","IMG_5228 00084.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
